Agate Alley Bistro,Tuesday-Friday,11:00,01:00
Agate Alley Bistro,Saturday-Sunday,08:00,01:00
Studio One Cafe,Monday-Thursday,07:00,15:00
Studio One Cafe,Friday-Sunday,07:00,16:00
McMenamins East 19th Street Cafe,Monday-Saturday,11:00,01:00
McMenamins East 19th Street Cafe,Sunday,12:00,00:00
Prince Puckler's Gourmet Ice Cream,Monday-Sunday,12:00,23:00
Oolong Bar,Monday-Sunday,08:00,16:00
Sweet Life Petite,Monday-Friday,07:00,22:00
Sweet Life Petite,Saturday-Sunday,08:00,22:00
Hey Neighbor Pizza House,Monday-Sunday,11:00,21:00
"Duck Store,Knight Law",Monday-Thursday,07:30,17:00
"Duck Store,Knight Law",Friday,07:30,15:00
Starbucks on Franklin,Monday-Friday,05:30,21:30
Starbucks on Franklin,Saturday,06:00,22:00
Starbucks on Franklin,Sunday,06:00,21:30
House of Chen Restaurant,Monday-Sunday,11:00,22:00
Track Town Pizza,Monday-Thursday,11:00,00:00
Track Town Pizza,Friday-Saturday,11:00,01:00
Track Town Pizza,Sunday,11:00,00:00
Trev's Sports Bar & Grill,Monday-Thursday,08:00,22:00
Trev's Sports Bar & Grill,Friday-Saturday,08:00,00:00
Trev's Sports Bar & Grill,Sunday,08:00,22:00
